### var1 :  probe_sc_eta 
### var2 :  probe_sc_et 
  -2.500	  -2.000	 +10.000	 +20.000	0.833	0.012	0.838	0.003	0.832	0.839	0.835	0.833
  -2.000	  -1.566	 +10.000	 +20.000	0.963	0.014	0.926	0.003	0.958	0.961	0.925	0.920
  -1.566	  -1.444	 +10.000	 +20.000	0.505	0.024	0.551	0.008	0.504	0.998	0.550	0.536
  -1.444	  -0.800	 +10.000	 +20.000	0.939	0.017	0.922	0.002	0.939	0.947	0.922	0.917
  -0.800	  +0.000	 +10.000	 +20.000	0.869	0.014	0.919	0.002	0.865	0.923	0.914	0.914
  +0.000	  +0.800	 +10.000	 +20.000	0.869	0.014	0.919	0.002	0.865	0.923	0.914	0.914
  +0.800	  +1.444	 +10.000	 +20.000	0.939	0.017	0.922	0.002	0.939	0.947	0.922	0.917
  +1.444	  +1.566	 +10.000	 +20.000	0.505	0.024	0.551	0.008	0.504	0.998	0.550	0.536
  +1.566	  +2.000	 +10.000	 +20.000	0.963	0.014	0.926	0.003	0.958	0.961	0.925	0.920
  +2.000	  +2.500	 +10.000	 +20.000	0.833	0.012	0.838	0.003	0.832	0.839	0.835	0.833
  -2.500	  -2.000	 +20.000	 +30.000	0.893	0.006	0.848	0.002	0.889	0.889	0.849	0.840
  -2.000	  -1.566	 +20.000	 +30.000	0.952	0.006	0.952	0.002	0.952	0.948	0.952	0.944
  -1.566	  -1.444	 +20.000	 +30.000	0.738	0.018	0.762	0.006	0.739	0.938	0.764	0.718
  -1.444	  -0.800	 +20.000	 +30.000	0.957	0.005	0.960	0.001	0.956	0.960	0.961	0.954
  -0.800	  +0.000	 +20.000	 +30.000	0.948	0.005	0.959	0.001	0.948	0.941	0.959	0.947
  +0.000	  +0.800	 +20.000	 +30.000	0.964	0.005	0.959	0.001	0.963	0.961	0.960	0.951
  +0.800	  +1.444	 +20.000	 +30.000	0.951	0.006	0.963	0.001	0.951	0.947	0.962	0.956
  +1.444	  +1.566	 +20.000	 +30.000	0.793	0.020	0.762	0.006	0.728	0.974	0.748	0.707
  +1.566	  +2.000	 +20.000	 +30.000	0.965	0.006	0.958	0.001	0.946	0.964	0.961	0.950
  +2.000	  +2.500	 +20.000	 +30.000	0.866	0.006	0.886	0.002	0.863	0.868	0.886	0.885
  -2.500	  -2.000	 +30.000	 +40.000	0.926	0.002	0.908	0.001	0.917	0.928	0.908	0.911
  -2.000	  -1.566	 +30.000	 +40.000	0.963	0.001	0.965	0.001	0.957	0.968	0.965	0.965
  -1.566	  -1.444	 +30.000	 +40.000	0.824	0.004	0.874	0.001	0.822	0.927	0.874	0.874
  -1.444	  -0.800	 +30.000	 +40.000	0.971	0.001	0.976	0.001	0.960	0.975	0.976	0.976
  -0.800	  +0.000	 +30.000	 +40.000	0.966	0.001	0.980	0.001	0.958	0.974	0.979	0.979
  +0.000	  +0.800	 +30.000	 +40.000	0.968	0.001	0.980	0.001	0.961	0.976	0.980	0.979
  +0.800	  +1.444	 +30.000	 +40.000	0.970	0.001	0.977	0.001	0.963	0.977	0.977	0.977
  +1.444	  +1.566	 +30.000	 +40.000	0.829	0.004	0.871	0.001	0.815	0.900	0.872	0.871
  +1.566	  +2.000	 +30.000	 +40.000	0.964	0.002	0.970	0.001	0.958	0.970	0.970	0.970
  +2.000	  +2.500	 +30.000	 +40.000	0.919	0.002	0.933	0.001	0.909	0.922	0.932	0.934
  -2.500	  -2.000	 +40.000	 +50.000	0.944	0.002	0.924	0.001	0.939	0.947	0.924	0.926
  -2.000	  -1.566	 +40.000	 +50.000	0.971	0.001	0.972	0.001	0.967	0.971	0.972	0.972
  -1.566	  -1.444	 +40.000	 +50.000	0.872	0.003	0.905	0.001	0.864	0.873	0.906	0.911
  -1.444	  -0.800	 +40.000	 +50.000	0.976	0.001	0.983	0.001	0.975	0.978	0.983	0.983
  -0.800	  +0.000	 +40.000	 +50.000	0.977	0.001	0.986	0.001	0.974	0.977	0.986	0.986
